numVotes,Frequency,AverageRating
274,299,6.75351170568562
275,302,6.699337748344373
276,282,6.749999999999999
277,292,6.898972602739725
278,269,6.918959107806689
279,288,6.856597222222218
280,277,6.832490974729242
281,283,6.916254416961133
282,288,6.8149305555555575
283,281,6.813879003558718
284,310,6.776451612903229
285,259,6.836679536679534
286,269,6.783271375464683
287,254,6.678346456692915
288,288,6.787152777777779
289,273,6.7692307692307745
290,292,6.7523972602739715
291,271,6.7036900369003725
292,251,6.705179282868523
293,278,6.879496402877698
294,299,6.806688963210704
295,273,6.702197802197804
296,271,6.880442804428044
297,263,6.6171102661596946
298,295,6.782711864406777
299,242,6.835950413223143
300,206,6.73155339805825
301,233,6.6532188841201725
302,243,6.766255144032924
303,268,6.825746268656716
304,229,6.6244541484716155
305,230,6.6326086956521735
306,255,6.761176470588236
307,254,6.770866141732284
308,221,6.853393665158376
309,249,6.882730923694782
310,281,6.656227758007119
311,211,6.673933649289099
312,237,6.619409282700429
313,225,6.548444444444444
314,249,6.794377510040163
315,237,6.940084388185655
316,234,6.822222222222223
317,244,6.711475409836064
318,223,6.886098654708518
319,230,6.692608695652174
320,234,6.720940170940176
321,220,6.870454545454543
322,244,6.73729508196721
323,240,6.545833333333331
324,212,6.599999999999999
325,205,6.776585365853662
326,235,6.805531914893618
327,227,6.76343612334802
328,201,6.654228855721392
329,213,6.735680751173712
330,240,6.658750000000002
331,208,6.75240384615385
332,215,6.715348837209304
333,200,6.831999999999997
334,236,6.761440677966103
335,198,6.693939393939393
336,195,6.787179487179486
337,242,6.7669421487603305
338,200,6.7945
339,225,6.720888888888888
340,216,6.700925925925918
341,203,6.862561576354677
342,191,6.846596858638741
343,187,6.83636363636364
344,228,6.790350877192982
345,225,6.593777777777781
346,220,6.73272727272727
347,220,6.7740909090909085
348,185,6.8286486486486435
349,214,6.7607476635514026
350,220,6.586363636363634
351,188,6.745744680851062
352,191,6.538743455497379
353,190,6.872631578947368
354,181,6.726519337016574
355,216,6.80324074074074
356,204,6.709803921568629
357,196,6.821938775510205
358,194,6.84845360824742
359,195,6.630769230769231
360,189,6.589947089947092
361,196,6.688265306122449
362,208,6.875480769230768
363,168,6.779761904761906
364,148,6.558108108108109
365,203,6.7113300492610835
366,172,6.835465116279074
367,164,6.551829268292683
368,155,6.712258064516127
369,175,6.84571428571429
370,173,6.969942196531791
371,182,6.616483516483517
372,174,6.6339080459770114
373,186,6.654301075268819
374,161,6.839130434782608
375,176,6.800568181818181
376,155,6.785806451612909
377,172,6.864534883720932
378,146,6.622602739726028
379,169,6.7502958579881644
380,156,6.630128205128203
381,153,6.747058823529417
382,192,6.556249999999995
383,168,6.6601190476190455
384,184,6.719021739130433
385,175,6.5520000000000005
386,171,6.5175438596491215
387,147,6.6925170068027215
388,146,6.70068493150685
389,151,6.532450331125829
390,160,6.721250000000003
391,161,6.793167701863355
392,158,6.55253164556962
393,144,6.69444444444444
394,149,6.7442953020134215
395,181,6.835911602209944
396,138,6.397101449275361
397,135,6.65111111111111
398,170,6.579411764705877
399,176,6.827840909090913
400,159,6.657861635220127
401,174,6.571839080459768
402,143,6.776923076923076
403,161,6.768944099378881
404,161,6.698136645962732
405,163,6.799999999999999
406,145,6.720000000000004
407,148,6.562837837837835
408,149,6.731543624161074
409,138,6.909420289855071
410,134,6.667164179104481
