numVotes,Frequency,AverageRating
351,188,1268.1999999999996
352,191,1248.8999999999994
353,190,1305.8
354,181,1217.5
355,216,1469.4999999999998
356,204,1368.8000000000004
357,196,1337.1000000000001
358,194,1328.5999999999995
359,195,1293.0
360,189,1245.5000000000005
361,196,1310.8999999999999
362,208,1430.0999999999997
363,168,1139.0000000000002
364,148,970.6000000000001
365,203,1362.3999999999999
366,172,1175.7000000000007
367,164,1074.5
368,155,1040.3999999999996
369,175,1198.0000000000007
370,173,1205.8
371,182,1204.2
372,174,1154.3
373,186,1237.7000000000003
374,161,1101.1
375,176,1196.8999999999999
376,155,1051.8000000000009
377,172,1180.7000000000003
378,146,966.9
379,169,1140.7999999999997
380,156,1034.2999999999997
381,153,1032.3000000000009
382,192,1258.799999999999
383,168,1118.8999999999996
384,184,1236.2999999999997
385,175,1146.6000000000001
386,171,1114.4999999999998
387,147,983.8000000000001
388,146,978.3000000000002
389,151,986.4000000000002
390,160,1075.4000000000005
391,161,1093.7000000000003
392,158,1035.3
393,144,963.9999999999994
394,149,1004.8999999999999
395,181,1237.3
396,138,882.7999999999998
397,135,897.8999999999999
398,170,1118.499999999999
399,176,1201.7000000000007
400,159,1058.6000000000001
401,174,1143.4999999999998
402,143,969.0999999999999
403,161,1089.8
404,161,1078.3999999999999
405,163,1108.3999999999999
406,145,974.4000000000005
407,148,971.2999999999995
408,149,1003.0000000000001
409,138,953.4999999999999
410,134,893.4000000000004
411,150,1016.6000000000006
412,151,1039.2000000000003
413,128,872.8000000000001
414,151,999.4999999999999
415,151,996.9999999999999
416,149,1008.9000000000001
417,135,904.8999999999999
418,168,1148.3999999999999
419,136,926.7
420,124,803.0
421,138,925.6999999999999
422,146,966.7000000000004
423,143,966.8
424,143,958.2000000000003
425,125,836.2999999999997
426,136,913.0
427,136,935.3000000000001
428,159,1078.3000000000006
429,137,904.9000000000001
430,150,998.2999999999995
431,148,1017.5
432,135,894.5999999999999
433,144,979.8000000000001
434,161,1084.1999999999998
435,154,1062.0000000000002
436,148,1004.0000000000003
437,143,990.8999999999993
438,136,919.4
439,124,849.0000000000001
440,126,860.3
441,153,1038.5000000000005
442,148,1022.3
443,145,978.5000000000002
444,132,866.3999999999995
445,143,989.7000000000002
446,133,910.1000000000006
447,120,824.2000000000005
448,138,948.0999999999997
449,157,1095.3000000000002
450,138,935.9999999999997
451,141,970.8999999999996
452,122,833.0000000000005
453,111,747.9000000000002
454,120,796.2
455,153,1037.5
456,128,885.1
457,142,963.6000000000005
458,127,855.4000000000002
459,135,903.0
460,134,887.7000000000003
461,128,882.9999999999998
462,130,884.4000000000001
463,134,938.0
464,139,956.9000000000007
465,129,857.9999999999999
466,141,956.8000000000003
467,114,756.2000000000002
468,123,813.5999999999999
469,130,875.5
470,126,833.7000000000005
471,123,819.1000000000003
472,151,1001.6000000000001
473,104,695.9999999999997
474,115,792.0
475,121,828.1999999999998
476,123,811.7
477,113,764.5999999999998
478,135,920.5999999999998
479,129,860.1
480,120,806.2999999999997
481,122,843.9999999999995
482,113,780.1000000000003
483,124,839.4
484,107,722.1999999999999
485,125,825.9
486,125,850.6000000000003
487,135,882.1000000000001
488,136,925.6000000000009
489,107,726.6999999999999
490,125,856.5000000000001
491,118,814.9999999999998
492,119,830.7999999999996
493,114,757.1999999999999
494,122,817.1999999999996
495,108,733.4999999999999
496,108,715.3000000000001
497,118,765.3999999999999
498,119,825.1000000000001
